   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   4   4   0   0   0   0   2   0   0   2   0   0   2   2   0 
  2|   0   0   2   0   0   2   2   0   0   4   4   0   0   0   0   2 
  3|   0   0   0   0   4   2   0   4   4   0   0   2   0   0   0   0 
  4|   0   0   0   0   0   2   4   0   0   6   0   0   2   0   2   0 
  5|   0   0   0   0   4   0   0   2   2   0   0   4   0   0   2   2 
  6|   0   0   0   6   0   0   0   0   0   0   2   2   2   0   0   4 
  7|   0   4   2   0   0   0   0   0   0   2   0   2   0   4   2   0 
  8|   0   0   0   2   4   0   0   0   2   0   0   6   0   0   2   0 
  9|   0   0   2   0   0   2   2   0   0   6   2   0   2   0   0   0 
  a|   0   6   2   0   0   0   0   2   0   2   0   0   0   2   2   0 
  b|   2   0   0   6   0   0   2   0   0   0   0   2   0   0   0   4 
  c|   0   0   6   0   0   0   0   0   2   0   2   0   0   4   2   0 
  d|   6   0   0   0   2   2   0   0   0   0   0   0   4   0   0   2 
  e|   2   2   0   0   2   0   0   4   4   0   0   2   0   0   0   0 
  f|   0   0   0   0   0   2   4   0   0   2   4   0   0   2   0   2 
