   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   2   0   0   0   2   0   0   2   0   4   2   2   0   0   0 
  2|   2   0   2   0   0   0   0   2   0   4   2   2   0   0   0   2 
  3|   2   2   0   2   0   2   0   2   2   0   0   0   2   0   0   2 
  4|   0   2   4   2   0   0   0   2   0   2   0   2   2   0   0   0 
  5|   2   0   0   0   0   0   0   0   4   2   2   2   2   0   0   2 
  6|   4   0   0   2   0   0   0   0   2   2   0   2   2   0   2   0 
  7|   2   2   2   2   0   0   2   0   0   0   2   2   2   0   0   0 
  8|   0   2   2   0   2   0   2   2   0   0   2   2   2   0   0   0 
  9|   0   0   0   0   0   0   0   2   0   2   2   4   2   2   2   0 
  a|   0   0   0   2   2   0   0   2   2   2   0   2   2   2   0   0 
  b|   2   0   2   2   0   2   0   2   0   2   0   0   2   2   0   0 
  c|   2   0   0   4   2   2   2   2   0   0   0   2   0   0   0   0 
  d|   2   0   2   0   0   0   2   0   0   2   0   2   2   0   2   2 
  e|   0   2   0   0   0   2   0   2   0   0   4   2   2   0   0   2 
  f|   2   2   0   0   2   0   2   2   0   0   0   4   0   0   0   2 
